,Address,Interruption,Planned,Reported On,Status,Impact
0,"BUSHWICK - Building 08  130 MOORE STREET  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/22/2020 10:37 PM,NYCHA Staff Working NYCHA Staff is working to fix the issue,BuildingsUnitsResidents  1110274
1,"BUSHWICK - Building 02  24 HUMBOLDT STREET  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 4:27 PM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1191403
2,"EAST RIVER - Building 07  427 EAST 102ND STREET  NEW YORK, NY 10029",Elevator NO SERVICE,Unplanned,02/25/2020 5:16 PM,Outage Reported Outage has been reported,BuildingsUnitsResidents  13057
3,"MANHATTANVILLE - Building 03  1420 AMSTERDAM AVENUE  NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 1:04 PM,NYCHA Staff Assigned NYCHA Staff has been assigned to work on the issue,BuildingsUnitsResidents  1215519
4,"MONROE - Building 05  800 SOUNDVIEW AVENUE  BRONX, NY 10473",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 4:57 PM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1110231
5,"O'DWYER GARDENS - Building 05  2935 WEST 33RD STREET  BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 2:23 PM,NYCHA Staff Assigned NYCHA Staff has been assigned to work on the issue,BuildingsUnitsResidents  193137
6,"PATTERSON - Building 15  2625 3RD AVENUE  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 1:02 AM,Service Restored Outage has been fixed,BuildingsUnitsResidents  1104205
7,"REDFERN - Building 02  14-68 BEACH CHANNEL DRIVE  QUEENS, NY 11691",Elevator NO SERVICE,Unplanned,02/25/2020 4:23 PM,Outage Reported Outage has been reported,BuildingsUnitsResidents  13682
8,"ROOSEVELT I - Building 02  927 DEKALB AVENUE  BROOKLYN, NY 11221",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 6:03 PM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1116281
9,"SEDGWICK - Building 07  164 WEST 174TH STREET  BRONX, NY 10453",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 1:31 PM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1112214
10,"WAGNER - Building 19  2390 2ND AVENUE  NEW YORK, NY 10035",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 11:15 AM,NYCHA Staff Working NYCHA Staff is working to fix the issue,BuildingsUnitsResidents  1125278
