,Address,Interruption,Planned,Reported On,Restoration Time,Impact
0,"335 EAST 111TH STREET - Building 01  335 EAST 111TH STREET  NEW YORK, NY 10029",Elevator NO SERVICE,Unplanned,02/23/2020 10:17 PM,29 Hours,BuildingsUnitsPopulation  166104
1,"344 EAST 28TH STREET - Building 01  344 EAST 28TH STREET  NEW YORK, NY 10016",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 10:21 AM,5 Hours,BuildingsUnitsPopulation  1225430
2,"ADAMS - Building 06  680 TINTON AVENUE  BRONX, NY 10455",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 5:18 PM,17 Hours,BuildingsUnitsPopulation  1143385
3,"ADAMS - Building 05  710 TINTON AVENUE  BRONX, NY 10455",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 7:33 AM,5 Hours,BuildingsUnitsPopulation  1142359
4,"ADAMS - Building 04  721 TINTON AVENUE  BRONX, NY 10455",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 9:04 AM,2 Hours,BuildingsUnitsPopulation  1125265
5,"ALBANY - Building 06  162 TROY AVENUE  BROOKLYN, NY 11213",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 2:13 PM,1 Hours,BuildingsUnitsPopulation  1140316
6,"AMSTERDAM - Building 05  216 WEST 63RD STREET  NEW YORK, NY 10023",Elevator NO SERVICE,Unplanned,02/24/2020 11:19 PM,5 Hours,BuildingsUnitsPopulation  13060
7,"AMSTERDAM ADDITION - Building 01  250 WEST 65TH STREET  NEW YORK, NY 10023",Elevator NO SERVICE,Unplanned,02/24/2020 9:10 AM,1 Hours,BuildingsUnitsPopulation  1175335
8,"ASTORIA - Building 23  1-04 ASTORIA BLVD.  QUEENS, NY 11102",Elevator NO SERVICE,Unplanned,02/25/2020 3:45 PM,1 Hours,BuildingsUnitsPopulation  148114
9,"ATLANTIC TERMINAL SITE 4B - Building 01  487 CARLTON AVENUE  BROOKLYN, NY 11238",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 9:13 AM,6 Hours,BuildingsUnitsPopulation  1300582
10,"BAISLEY PARK - Building 01  164-01 FOCH BOULEVARD  QUEENS, NY 11434",Elevator NO SERVICE,Unplanned,02/24/2020 3:35 PM,4 Hours,BuildingsUnitsPopulation  177180
11,"BORINQUEN PLAZA II - Building 14  330 BUSHWICK AVENUE  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 8:09 AM,4 Hours,BuildingsUnitsPopulation  165170
12,"BOSTON SECOR - Building 03  3550 BIVONA STREET  BRONX, NY 10475",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 7:59 PM,16 Hours,BuildingsUnitsPopulation  1108254
13,"BOULEVARD - Building 12  881 SCHENCK AVENUE  BROOKLYN, NY 11207",Elevator NO SERVICE,Unplanned,02/24/2020 4:38 PM,14 Hours,BuildingsUnitsPopulation  13679
14,"BOYNTON AVENUE REHAB - Building 03  1057 BOYNTON AVENUE  BRONX, NY 10472",Elevator NO SERVICE,Unplanned,02/25/2020 9:24 AM,3 Hours,BuildingsUnitsPopulation  160121
15,"BREUKELEN - Building 27  553 EAST 108TH STREET  BROOKLYN, NY 11236",Elevator NO SERVICE,Unplanned,02/24/2020 11:44 PM,5 Hours,BuildingsUnitsPopulation  13575
16,"BRONX RIVER - Building 04  1460 BRONX RIVER AVENUE  BRONX, NY 10472",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 9:05 AM,2 Hours,BuildingsUnitsPopulation  1140343
17,"BRONX RIVER - Building 07  1575 EAST 174TH STREET  BRONX, NY 10472",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 3:31 PM,19 Hours,BuildingsUnitsPopulation  1140334
18,"BROWN - Building 01  1634 SAINT MARKS AVENUE  BROOKLYN, NY 11233",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 10:18 AM,29 Hours,BuildingsUnitsPopulation  198101
19,"BROWNSVILLE - Building 20  267 OSBORN STREET  BROOKLYN, NY 11212",Elevator NO SERVICE,Unplanned,02/24/2020 9:48 AM,2 Hours,BuildingsUnitsPopulation  15495
20,"BUSHWICK - Building 08  130 MOORE STREET  BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,02/24/2020 11:47 AM,28 Hours,BuildingsUnitsPopulation  1110274
21,"BUSHWICK - Building 05  390 BUSHWICK AVENUE  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/23/2020 6:37 PM,8 Hours,BuildingsUnitsPopulation  1113303
22,"BUTLER - Building 03  1368 WEBSTER AVENUE  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 10:19 AM,5 Hours,BuildingsUnitsPopulation  1247694
23,"BUTLER - Building 06  1458 WEBSTER AVENUE  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 8:53 PM,10 Hours,BuildingsUnitsPopulation  1249671
24,"CAMPOS PLAZA II - Building 03  643 EAST 13TH STREET  NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 1:27 PM,26 Hours,BuildingsUnitsPopulation  148119
25,"CARVER - Building 06  50 EAST 102ND STREET  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/23/2020 2:50 PM,22 Hours,BuildingsUnitsPopulation  1114267
26,"CASSIDY-LAFAYETTE - Building 02  135 CASSIDY PLACE  STATEN ISLAND, NY 103011159",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 10:30 AM,3 Hours,BuildingsUnitsPopulation  17889
27,"CASTLE HILL - Building 07  530 OLMSTEAD AVENUE  BRONX, NY 10473",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 8:32 PM,14 Hours,BuildingsUnitsPopulation  1157415
28,"CASTLE HILL - Building 06  575 CASTLE HILL AVENUE  BRONX, NY 10473",Elevator PARTIAL SERVICE,Unplanned,02/23/2020 5:03 PM,20 Hours,BuildingsUnitsPopulation  1142321
29,"CHELSEA - Building 01  425 WEST 25TH STREET  NEW YORK, NY 10001",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 3:26 PM,4 Hours,BuildingsUnitsPopulation  1102212
30,"CHELSEA ADDITION - Building 01  436 WEST 27TH DRIVE  NEW YORK, NY 10001",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 11:44 AM,3 Hours,BuildingsUnitsPopulation  196113
31,"CONEY ISLAND - Building 03  3020 SURF AVENUE  BROOKLYN, NY 11224",Elevator NO SERVICE,Unplanned,02/24/2020 9:52 PM,4 Hours,BuildingsUnitsPopulation  1106233
32,"CYPRESS HILLS - Building 11  710 EUCLID AVENUE  BROOKLYN, NY 11208",Elevator NO SERVICE,Unplanned,02/24/2020 4:40 PM,3 Hours,BuildingsUnitsPopulation  14585
33,"DOUGLASS I - Building 09  875 COLUMBUS AVENUE  NEW YORK, NY 10025",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 3:20 PM,4 Hours,BuildingsUnitsPopulation  1173361
34,"DREW-HAMILTON - Building 04  2430 A C POWELL BOULEVARD  NEW YORK, NY 10030",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 8:24 AM,4 Hours,BuildingsUnitsPopulation  1238539
35,"DYCKMAN - Building 01  177 NAGLE AVENUE  NEW YORK, NY 10034",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 8:03 AM,6 Hours,BuildingsUnitsPopulation  1165298
36,"DYCKMAN - Building 02  3716 10TH AVENUE  NEW YORK, NY 10034",Elevator PARTIAL SERVICE,Unplanned,02/23/2020 5:45 PM,13 Hours,BuildingsUnitsPopulation  1168317
37,"DYCKMAN - Building 04  3736 10TH AVENUE  NEW YORK, NY 10034",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 8:04 AM,7 Hours,BuildingsUnitsPopulation  1162331
38,"EAST RIVER - Building 07  433 EAST 102ND STREET  NEW YORK, NY 10029",Elevator NO SERVICE,Unplanned,02/24/2020 3:04 PM,19 Hours,BuildingsUnitsPopulation  13056
39,"FARRAGUT - Building 05  191 SANDS STREET  BROOKLYN, NY 11201",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 1:07 AM,14 Hours,BuildingsUnitsPopulation  1140367
40,"FOREST - Building 03  735 EAST 165TH STREET  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 4:00 PM,3 Hours,BuildingsUnitsPopulation  1111224
41,"GARVEY (GROUP A) - Building 03  1400 EAST NEW YORK AVENUE  BROOKLYN, NY 11212",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 8:58 AM,3 Hours,BuildingsUnitsPopulation  1111324
42,"GLENWOOD - Building 05  5711 AVENUE H  BROOKLYN, NY 11234",Elevator NO SERVICE,Unplanned,02/25/2020 6:48 AM,5 Hours,BuildingsUnitsPopulation  13057
43,"GLENWOOD - Building 11  5716 FARRAGUT ROAD  BROOKLYN, NY 11234",Elevator NO SERVICE,Unplanned,02/24/2020 1:08 PM,7 Hours,BuildingsUnitsPopulation  13065
44,"GOWANUS - Building 09  218 BOND STREET  BROOKLYN, NY 11217",Elevator NO SERVICE,Unplanned,02/25/2020 11:22 AM,2 Hours,BuildingsUnitsPopulation  12955
45,"GOWANUS - Building 04  417 BALTIC STREET  BROOKLYN, NY 11217",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 8:35 AM,3 Hours,BuildingsUnitsPopulation  193212
46,"GRANT - Building 02  3150 BROADWAY  NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 10:35 AM,29 Hours,BuildingsUnitsPopulation  1226490
47,"GRANT - Building 01  3170 BROADWAY  NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 4:07 PM,17 Hours,BuildingsUnitsPopulation  1226500
48,"GRANT - Building 05  55 LA SALLE STREET  NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 6:22 PM,19 Hours,BuildingsUnitsPopulation  1223488
49,"HABER - Building 02  3018 WEST 24TH STREET  BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 7:13 AM,3 Hours,BuildingsUnitsPopulation  1128154
50,"HAMMEL - Building 11  81-01 HAMMELS BLVD.  QUEENS, NY 11693",Elevator NO SERVICE,Unplanned,02/25/2020 9:23 AM,1 Hours,BuildingsUnitsPopulation  153130
51,"HIGHBRIDGE GARDENS - Building 05  1145 UNIVERSITY AVENUE  BRONX, NY 10452",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 11:03 AM,7 Hours,BuildingsUnitsPopulation  1116270
52,"HYLAN - Building 01  131 MOORE STREET  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 3:47 PM,8 Hours,BuildingsUnitsPopulation  1209428
53,"INGERSOLL - Building 16  110 MONUMENT WALK  BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,02/24/2020 10:54 AM,2 Hours,BuildingsUnitsPopulation  13667
54,"INGERSOLL - Building 19  55 MONUMENT WALK  BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,02/25/2020 12:24 PM,3 Hours,BuildingsUnitsPopulation  13075
55,"INGERSOLL - Building 19  74 SAINT EDWARDS STREET  BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,02/24/2020 12:21 PM,2 Hours,BuildingsUnitsPopulation  12450
56,"INGERSOLL - Building 23  8 MONUMENT WALK  BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,02/24/2020 9:18 AM,2 Hours,BuildingsUnitsPopulation  188188
57,"ISAACS - Building 03  1806 1ST AVENUE  NEW YORK, NY 10128",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 6:31 PM,13 Hours,BuildingsUnitsPopulation  1207410
58,"JACKSON - Building 02  300 EAST 158TH STREET  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 9:47 AM,5 Hours,BuildingsUnitsPopulation  1123317
59,"JACKSON - Building 05  301 EAST 156TH STREET  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,02/23/2020 11:58 PM,12 Hours,BuildingsUnitsPopulation  1125319
60,"JEFFERSON - Building 03  330 EAST 115TH STREET  NEW YORK, NY 10029",Elevator NO SERVICE,Unplanned,02/25/2020 3:00 PM,4 Hours,BuildingsUnitsPopulation  12767
61,"JEFFERSON - Building 02  322 EAST 115TH STREET  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 11:53 AM,3 Hours,BuildingsUnitsPopulation  154124
62,"JOHNSON - Building 03  1565 PARK AVENUE  NEW YORK, NY 10029",Elevator NO SERVICE,Unplanned,02/24/2020 1:21 PM,2 Hours,BuildingsUnitsPopulation  12466
63,"JOHNSON - Building 07  165 EAST 112TH STREET  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 7:24 AM,4 Hours,BuildingsUnitsPopulation  1108209
64,"JOHNSON - Building 05  1830 LEXINGTON AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 2:49 PM,20 Hours,BuildingsUnitsPopulation  194239
65,"JOHNSON - Building 10  1839 LEXINGTON AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 6:33 AM,4 Hours,BuildingsUnitsPopulation  1105244
