,Address,Interruption,Planned,Reported On,Status,Impact
0,"344 EAST 28TH STREET - Entire Development  344 EAST 28TH STREET  MANHATTAN, NY 10016",Heat  Hot Water,Unplanned  Unplanned,02/25/2020 5:00 PM,NYCHA Staff Working NYCHA Staff is working to fix the issue,BuildingsUnitsResidents  1225430
1,"JEFFERSON - Building 04  2235 1ST AVENUE  NEW YORK, NY 10029",Hot Water,Unplanned,02/25/2020 5:01 PM,NYCHA Staff Working NYCHA Staff is working to fix the issue,BuildingsUnitsResidents  154159
2,"TAFT - Building 04  1385 5TH AVENUE  NEW YORK, NY 10029",Water,Unplanned,02/25/2020 11:16 AM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1150290
3,"TAFT - Building 01  1694 MADISON AVENUE  NEW YORK, NY 10029",Water,Unplanned,02/25/2020 11:39 AM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1150282
4,"TAFT - Building 02  1345 5TH AVENUE  NEW YORK, NY 10029",Water,Unplanned,02/25/2020 11:42 AM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1150373
5,"TAFT - Building 03  1365 5TH AVENUE  NEW YORK, NY 10029",Water,Unplanned,02/25/2020 11:51 AM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1201294
6,"TAFT - Entire Development  1694 MADISON AVENUE  NEW YORK, NY 10029",Heat  Hot Water,Unplanned  Unplanned,02/25/2020 12:30 PM,Outage Reported Outage has been reported,"BuildingsUnitsResidents  101,4702,997"
7,"TAFT 1734 MADISON AVENUE  NEW YORK, NY 10029",Water,Unplanned,02/25/2020 11:19 AM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1147377
8,"TAFT 1735 MADISON AVENUE  NEW YORK, NY 10029",Water,Unplanned,02/25/2020 11:00 AM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1150369
9,"TAFT 70 EAST 115TH STREET  NEW YORK, NY 10029",Water,Unplanned,02/25/2020 11:00 AM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1186333
10,"WSUR (SITE B) 74 WEST 92ND STREET - Entire Development  74 WEST 92ND STREET  NEW YORK, NY 10025",Heat,Unplanned,02/25/2020 1:30 PM,Outage Reported Outage has been reported,BuildingsUnitsResidents  1168331
