,Address,Interruption,Planned,Reported On,Restoration Time,Impact
0,"BARUCH - Building 11  79 BARUCH DRIVE  NEW YORK, NY 10002",Water,Planned,02/24/2020 8:00 AM,26 Hours,BuildingsUnitsPopulation  1130232
1,"BREVOORT - Building 11  302 BAINBRIDGE STREET  BROOKLYN, NY 11233",Hot Water,Planned,02/24/2020 10:00 AM,4 Hours,BuildingsUnitsPopulation  170125
2,"BROWNSVILLE - Building 02  296 SUTTER AVENUE  BROOKLYN, NY 11212",Heat,Planned,02/25/2020 9:00 AM,6 Hours,BuildingsUnitsPopulation  148133
3,"CLINTON - Building 01  1505 PARK AVENUE  NEW YORK, NY 10029",Hot Water,Unplanned,02/24/2020 4:00 PM,5 Hours,BuildingsUnitsPopulation  1140321
4,"EAST 165TH STREET-BRYANT AVENUE 1070 BRYANT AVENUE  BRONX, NY 10459",Heat,Unplanned,02/24/2020 8:15 AM,8 Hours,BuildingsUnitsPopulation  1624
5,"EAST RIVER - Building 07  433 EAST 102ND STREET  NEW YORK, NY 10029",Heat  Hot Water,Planned  Planned,02/24/2020 9:00 AM,8 Hours,BuildingsUnitsPopulation  1120233
6,"FARRAGUT - Entire Development  237 NASSAU STREET  BROOKLYN, NY 11201",Heat,Unplanned,02/24/2020 11:00 AM,5 Hours,"BuildingsUnitsPopulation  101,3903,237"
7,"HAMMEL - Building 01  85-02 ROCKAWAY BEACH BOULEVARD  FAR ROCKAWAY, NY 11693",Water,Planned,02/24/2020 9:00 AM,29 Hours,BuildingsUnitsPopulation  151117
8,"JACKSON - Entire Development  3080 PARK AVENUE  BRONX, NY 10451",Heat  Hot Water  Water,Planned  Planned  Planned,02/25/2020 8:00 AM,10 Hours,"BuildingsUnitsPopulation  78682,092"
9,"JUSTICE SONIA SOTOMAYOR HOUSES - Building 15  1750 WATSON AVENUE  BRONX, NY 10472",Water,Planned,02/25/2020 8:00 AM,9 Hours,BuildingsUnitsPopulation  15098
10,"JUSTICE SONIA SOTOMAYOR HOUSES - Building 14  1755 BRUCKNER BOULEVARD  BRONX, NY 10472",Water,Planned,02/25/2020 8:00 AM,9 Hours,BuildingsUnitsPopulation  154124
11,"JUSTICE SONIA SOTOMAYOR HOUSES - Building 13  1040 ROSEDALE AVENUE  BRONX, NY 10472",Water,Planned,02/25/2020 8:00 AM,9 Hours,BuildingsUnitsPopulation  154113
