,Address,Interruption,Scheduled Date,Impact
0,"JACKSON - Building 06  285 EAST 156TH STREET  BRONX, NY 10451",Elevator PARTIAL SERVICE,02/28/2020 8:00 AM,BuildingsUnitsResidents  1124285
1,"JACKSON - Building 04  765 COURTLANDT AVENUE  BRONX, NY 10451",Elevator PARTIAL SERVICE,02/27/2020 8:00 AM,BuildingsUnitsResidents  1124298
2,"JUSTICE SONIA SOTOMAYOR HOUSES - Building 12  1744 WATSON AVENUE  BRONX, NY 10472",Elevator PARTIAL SERVICE,02/26/2020 9:30 AM,BuildingsUnitsResidents  151113
3,"JUSTICE SONIA SOTOMAYOR HOUSES - Building 27  1815 BRUCKNER BOULEVARD  BRONX, NY 10472",Elevator PARTIAL SERVICE,02/26/2020 9:30 AM,BuildingsUnitsResidents  154115
4,"JUSTICE SONIA SOTOMAYOR HOUSES - Building 28  1825 BRUCKNER BOULEVARD  BRONX, NY 10472",Elevator PARTIAL SERVICE,02/26/2020 9:30 AM,BuildingsUnitsResidents  154111
5,"LA GUARDIA - Building 04  300 CHERRY STREET  NEW YORK, NY 10002",Elevator PARTIAL SERVICE,02/26/2020 10:00 AM,BuildingsUnitsResidents  1123256
6,"LA GUARDIA - Building 02  55 RUTGERS STREET  NEW YORK, NY 10002",Elevator PARTIAL SERVICE,02/26/2020 10:00 AM,BuildingsUnitsResidents  1124259
7,"LA GUARDIA - Building 03  65 JEFFERSON STREET  NEW YORK, NY 10002",Elevator PARTIAL SERVICE,02/26/2020 10:00 AM,BuildingsUnitsResidents  1108261
8,"PELHAM PARKWAY - Building 05  2430 BRONXWOOD AVENUE  BRONX, NY 10469",Elevator PARTIAL SERVICE,02/27/2020 10:45 AM,BuildingsUnitsResidents  13058
9,"PELHAM PARKWAY - Building 05  925 WARING AVENUE  BRONX, NY 10469",Elevator PARTIAL SERVICE,02/27/2020 8:00 AM,BuildingsUnitsResidents  13055
