,Address,Interruption,Planned,Reported On,Restoration Time,Impact
0,"1162-1176 WASHINGTON AVENUE - Building 01  1162 WASHINGTON AVENUE  BRONX, NY 10456",Elevator NO SERVICE,Unplanned,02/27/2020 3:16 PM,4 Hours,BuildingsUnitsPopulation  166169
1,"ADAMS - Building 07  815 EAST 152ND STREET  BRONX, NY 10455",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 2:05 AM,10 Hours,BuildingsUnitsPopulation  1143402
2,"AMSTERDAM - Building 06  216 WEST 64TH STREET  NEW YORK, NY 10023",Elevator NO SERVICE,Unplanned,02/26/2020 8:35 PM,8 Hours,BuildingsUnitsPopulation  13051
3,"BARUCH HOUSES ADDITION - Building 18  72 COLUMBIA STREET  NEW YORK, NY 10002",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 10:08 AM,2 Hours,BuildingsUnitsPopulation  1197241
4,"BAY VIEW - Building 02  2055 ROCKAWAY PARKWAY  BROOKLYN, NY 11236",Elevator NO SERVICE,Unplanned,02/27/2020 8:45 AM,7 Hours,BuildingsUnitsPopulation  170149
5,"BORINQUEN PLAZA II - Building 14  330 BUSHWICK AVENUE  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 8:02 AM,3 Hours,BuildingsUnitsPopulation  165170
6,"BOSTON SECOR - Building 02  3555 BIVONA STREET  BRONX, NY 10475",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 1:12 AM,3 Hours,BuildingsUnitsPopulation  1159372
7,"BOULEVARD - Building 09  804 ASHFORD STREET  BROOKLYN, NY 11207",Elevator NO SERVICE,Unplanned,02/27/2020 8:48 PM,3 Hours,BuildingsUnitsPopulation  13371
8,"BOYNTON AVENUE REHAB - Building 03  1057 BOYNTON AVENUE  BRONX, NY 10472",Elevator NO SERVICE,Unplanned,02/27/2020 8:55 AM,4 Hours,BuildingsUnitsPopulation  160121
9,"BREUKELEN - Building 27  553 EAST 108TH STREET  BROOKLYN, NY 11236",Elevator NO SERVICE,Unplanned,02/27/2020 5:13 AM,4 Hours,BuildingsUnitsPopulation  13575
10,"BRONX RIVER - Building 06  1440 BRONX RIVER AVENUE  BRONX, NY 10472",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 3:53 PM,3 Hours,BuildingsUnitsPopulation  1140317
11,"BRONX RIVER - Building 04  1460 BRONX RIVER AVENUE  BRONX, NY 10472",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 3:56 PM,6 Hours,BuildingsUnitsPopulation  1140343
12,"BROWNSVILLE - Building 17  281 DUMONT AVENUE  BROOKLYN, NY 11212",Elevator NO SERVICE,Unplanned,02/26/2020 11:38 PM,5 Hours,BuildingsUnitsPopulation  154120
13,"BUSHWICK - Building 06  370 BUSHWICK AVENUE  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 12:40 PM,28 Hours,BuildingsUnitsPopulation  1111309
14,"CAMPOS PLAZA II - Building 04  612 EAST 14TH STREET  NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 9:45 AM,6 Hours,BuildingsUnitsPopulation  1128258
15,"CASTLE HILL - Building 10  2275 RANDALL AVENUE  BRONX, NY 10473",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 6:26 PM,17 Hours,BuildingsUnitsPopulation  1142341
16,"CHELSEA - Building 02  415 WEST 25TH STREET  NEW YORK, NY 10001",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 9:11 AM,7 Hours,BuildingsUnitsPopulation  1121235
17,"CLINTON - Building 01  1505 PARK AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 5:37 PM,11 Hours,BuildingsUnitsPopulation  1140324
18,"CONEY ISLAND - Building 03  3020 SURF AVENUE  BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 12:55 PM,4 Hours,BuildingsUnitsPopulation  1106233
19,"COOPER PARK - Building 02  60 KINGSLAND AVENUE  BROOKLYN, NY 11211",Elevator NO SERVICE,Unplanned,02/27/2020 7:38 PM,4 Hours,BuildingsUnitsPopulation  149135
20,"CYPRESS HILLS - Building 05  1210 SUTTER AVENUE  BROOKLYN, NY 11208",Elevator NO SERVICE,Unplanned,02/27/2020 6:07 PM,10 Hours,BuildingsUnitsPopulation  149112
21,"DREW-HAMILTON - Building 02  2680 F DOUGLASS BOULEVARD  NEW YORK, NY 10030",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 8:45 AM,7 Hours,BuildingsUnitsPopulation  1244521
22,"DYCKMAN - Building 06  3758 10TH AVENUE  NEW YORK, NY 10034",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 9:32 AM,4 Hours,BuildingsUnitsPopulation  1168315
23,"EAST 180TH STREET-MONTEREY AVENUE - Building 01  558 EAST 181ST STREET  BRONX, NY 10457",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 10:54 AM,9 Hours,BuildingsUnitsPopulation  1117263
24,"EDENWALD - Building 22  1132 229TH DRIVE SOUTH  BRONX, NY 10466",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 9:14 AM,6 Hours,BuildingsUnitsPopulation  1110233
25,"FARRAGUT - Building 04  233 SANDS STREET  BROOKLYN, NY 11201",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 1:57 PM,8 Hours,BuildingsUnitsPopulation  1140347
26,"FOREST - Building 11  965 TINTON AVENUE  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 7:57 AM,6 Hours,BuildingsUnitsPopulation  1108218
27,"GOWANUS - Building 09  218 BOND STREET  BROOKLYN, NY 11217",Elevator NO SERVICE,Unplanned,02/27/2020 7:51 AM,8 Hours,BuildingsUnitsPopulation  12955
28,"GRANT - Building 05  55 LA SALLE STREET  NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 10:20 PM,14 Hours,BuildingsUnitsPopulation  1223488
29,"HUGHES APARTMENTS - Building 02  315 SUTTER AVENUE  BROOKLYN, NY 11212",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 12:13 PM,2 Hours,BuildingsUnitsPopulation  1169448
30,"HYLAN - Building 01  131 MOORE STREET  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 10:13 PM,12 Hours,BuildingsUnitsPopulation  1209428
31,"INGERSOLL - Building 21  36 SAINT EDWARDS STREET  BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,02/27/2020 10:16 AM,2 Hours,BuildingsUnitsPopulation  188181
32,"JACKSON - Building 04  765 COURTLANDT AVENUE  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 5:47 AM,2 Hours,BuildingsUnitsPopulation  1124298
33,"JEFFERSON - Building 03  332 EAST 115TH STREET  NEW YORK, NY 10029",Elevator NO SERVICE,Unplanned,02/27/2020 12:19 PM,2 Hours,BuildingsUnitsPopulation  12783
34,"JOHNSON - Building 08  2070 3RD AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 9:19 AM,2 Hours,BuildingsUnitsPopulation  1112237
35,"LAFAYETTE - Building 02  456 DEKALB AVENUE  BROOKLYN, NY 11205",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 12:21 AM,5 Hours,BuildingsUnitsPopulation  1154458
36,"LINCOLN - Building 05  2121 MADISON AVENUE  NEW YORK, NY 10037",Elevator NO SERVICE,Unplanned,02/27/2020 8:21 PM,7 Hours,BuildingsUnitsPopulation  12454
37,"LONG ISLAND BAPTIST HOUSES - Building 04  340 WILLIAMS AVENUE  BROOKLYN, NY 11207",Elevator NO SERVICE,Unplanned,02/27/2020 9:13 AM,10 Hours,BuildingsUnitsPopulation  156117
38,"MANHATTANVILLE - Building 02  3250 BROADWAY  NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 9:48 AM,4 Hours,BuildingsUnitsPopulation  1213459
39,"MANHATTANVILLE REHAB (GROUP 3) - Building 01  529 WEST 133RD STREET  NEW YORK, NY 10027",Elevator NO SERVICE,Unplanned,02/27/2020 3:55 PM,3 Hours,BuildingsUnitsPopulation  13883
40,"MARBLE HILL - Building 05  2831 EXTERIOR STREET  BRONX, NY 10463",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 10:32 AM,3 Hours,BuildingsUnitsPopulation  1154289
41,"MARCY - Building 24  125 NOSTRAND AVENUE  BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,02/27/2020 3:28 AM,25 Hours,BuildingsUnitsPopulation  12470
42,"MARCY - Building 14  33 NOSTRAND AVENUE  BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,02/26/2020 8:41 PM,15 Hours,BuildingsUnitsPopulation  12465
43,"MARCY - Building 03  482 MARCY AVENUE  BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,02/27/2020 4:39 PM,3 Hours,BuildingsUnitsPopulation  12455
44,"MARLBORO - Building 02  30 AVENUE V  BROOKLYN, NY 11223",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 7:59 AM,6 Hours,BuildingsUnitsPopulation  1127332
45,"MCKINLEY - Building 03  730 EAST 163RD STREET  BRONX, NY 10456",Elevator NO SERVICE,Unplanned,02/27/2020 9:37 PM,5 Hours,BuildingsUnitsPopulation  1122294
46,"MITCHEL - Building 09  177 WILLIS AVENUE  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 11:16 AM,2 Hours,BuildingsUnitsPopulation  1180372
47,"MITCHEL - Building 02  300 EAST 138TH STREET  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 9:01 PM,2 Hours,BuildingsUnitsPopulation  1173425
48,"MITCHEL - Building 01  303 EAST 135TH STREET  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 4:18 AM,6 Hours,BuildingsUnitsPopulation  1173464
49,"MORRIS II - Building 14  1480 WASHINGTON AVENUE  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 8:59 AM,3 Hours,BuildingsUnitsPopulation  198236
50,"MORRISANIA AIR RIGHTS - Building 01  3073 PARK AVENUE  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 10:05 AM,5 Hours,BuildingsUnitsPopulation  1137327
51,"MOTT HAVEN - Building 07  355 EAST 143RD STREET  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 9:14 AM,6 Hours,BuildingsUnitsPopulation  1117272
52,"MOTT HAVEN - Building 08  383 EAST 143RD STREET  BRONX, NY 10454",Elevator NO SERVICE,Unplanned,02/28/2020 12:58 AM,4 Hours,BuildingsUnitsPopulation  1117276
53,"NOSTRAND - Building 05  3062 AVENUE V  BROOKLYN, NY 11229",Elevator NO SERVICE,Unplanned,02/27/2020 3:39 PM,3 Hours,BuildingsUnitsPopulation  13666
54,"PARK AVENUE-EAST 122ND (123RD STREET) - Building 02  115 EAST 122ND STREET  NEW YORK, NY 10035",Elevator NO SERVICE,Unplanned,02/27/2020 3:37 PM,4 Hours,BuildingsUnitsPopulation  142116
55,"PARKSIDE - Building 13  2950 BRONX PARK EAST  BRONX, NY 10467",Elevator NO SERVICE,Unplanned,02/27/2020 1:37 PM,9 Hours,BuildingsUnitsPopulation  12860
56,"PATTERSON - Building 11  2715 3RD AVENUE  BRONX, NY 10451",Elevator NO SERVICE,Unplanned,02/27/2020 1:43 PM,2 Hours,BuildingsUnitsPopulation  142107
57,"PELHAM PARKWAY - Building 05  2430 BRONXWOOD AVENUE  BRONX, NY 10469",Elevator NO SERVICE,Planned,02/27/2020 10:45 AM,5 Hours,BuildingsUnitsPopulation  13058
58,"PELHAM PARKWAY - Building 05  925 WARING AVENUE  BRONX, NY 10469",Elevator NO SERVICE,Planned,02/27/2020 8:00 AM,7 Hours,BuildingsUnitsPopulation  13055
59,"POMONOK - Building 11  67-39 KISSENA BLVD.  QUEENS, NY 11367",Elevator NO SERVICE,Unplanned,02/25/2020 10:43 PM,40 Hours,BuildingsUnitsPopulation  12856
60,"QUEENSBRIDGE NORTH - Building 09  40-05 10TH STREET  QUEENS, NY 11101",Elevator NO SERVICE,Unplanned,02/27/2020 3:41 PM,4 Hours,BuildingsUnitsPopulation  13661
61,"RANGEL - Building 03  159-26 HARLEM RIVER DRIVE  NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 6:26 PM,4 Hours,BuildingsUnitsPopulation  1112221
62,"RAVENSWOOD - Building 28  34-55 12TH STREET  QUEENS, NY 11106",Elevator NO SERVICE,Unplanned,02/27/2020 3:15 PM,3 Hours,BuildingsUnitsPopulation  148100
63,"RED HOOK EAST - Building 07  774 HENRY STREET  BROOKLYN, NY 11231",Elevator NO SERVICE,Unplanned,02/27/2020 11:04 AM,2 Hours,BuildingsUnitsPopulation  13660
64,"RED HOOK WEST - Building 19  426 COLUMBIA STREET  BROOKLYN, NY 11231",Elevator NO SERVICE,Unplanned,02/27/2020 9:54 PM,6 Hours,BuildingsUnitsPopulation  13085
65,"REDFERN - Building 07  12-50 REDFERN AVENUE  QUEENS, NY 11691",Elevator NO SERVICE,Unplanned,02/27/2020 2:56 PM,5 Hours,BuildingsUnitsPopulation  148174
66,"REDFERN - Building 05  15-40 HASSOCK STREET  QUEENS, NY 11691",Elevator NO SERVICE,Unplanned,02/27/2020 7:20 PM,3 Hours,BuildingsUnitsPopulation  13676
67,"ROBINSON - Building 01  111 EAST 128TH STREET  NEW YORK, NY 10035",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 7:27 AM,4 Hours,BuildingsUnitsPopulation  179181
68,"ROOSEVELT I - Building 02  927 DEKALB AVENUE  BROOKLYN, NY 11221",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 10:55 AM,3 Hours,BuildingsUnitsPopulation  1116281
69,"SAINT NICHOLAS - Building 11  250 WEST 131ST STREET  NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 5:10 PM,4 Hours,BuildingsUnitsPopulation  1108237
70,"SAINT NICHOLAS - Building 10  260 WEST 131ST STREET  NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 9:09 AM,2 Hours,BuildingsUnitsPopulation  1108235
71,"SHEEPSHEAD BAY - Building 14  3571 NOSTRAND AVENUE  BROOKLYN, NY 11229",Elevator NO SERVICE,Unplanned,02/27/2020 2:38 PM,2 Hours,BuildingsUnitsPopulation  13058
72,"SOUNDVIEW - Building 12  1711 LACOMBE AVENUE  BRONX, NY 10473",Elevator NO SERVICE,Unplanned,02/27/2020 2:58 AM,4 Hours,BuildingsUnitsPopulation  149105
73,"SOUNDVIEW - Building 13  515 ROSEDALE AVENUE  BRONX, NY 10473",Elevator NO SERVICE,Unplanned,02/26/2020 11:48 PM,3 Hours,BuildingsUnitsPopulation  149109
74,"SOUNDVIEW - Building 09  541 ROSEDALE AVENUE  BRONX, NY 10473",Elevator NO SERVICE,Unplanned,02/27/2020 5:06 PM,6 Hours,BuildingsUnitsPopulation  149115
75,"SUMNER - Building 13  808 PARK AVENUE  BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,02/27/2020 5:11 PM,3 Hours,BuildingsUnitsPopulation  14289
76,"TAFT - Building 08  65 EAST 112TH STREET  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 6:03 PM,12 Hours,BuildingsUnitsPopulation  1186328
77,"THROGGS NECK ADDITION - Building 30  680 BALCOM AVENUE  BRONX, NY 10465",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 1:30 PM,1 Hours,BuildingsUnitsPopulation  156128
78,"TOMPKINS - Building 07  99 TOMPKINS AVENUE  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 12:10 AM,10 Hours,BuildingsUnitsPopulation  159151
79,"TWO BRIDGES URA (SITE 7) - Building 01  286 SOUTH STREET  NEW YORK, NY 10002",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 7:25 PM,10 Hours,BuildingsUnitsPopulation  1250628
80,"VLADECK - Building 15  372 MADISON STREET  NEW YORK, NY 10002",Elevator NO SERVICE,Unplanned,02/27/2020 3:43 PM,4 Hours,BuildingsUnitsPopulation  13653
81,"WAGNER - Building 12  20 PALADINO AVENUE  NEW YORK, NY 10035",Elevator PARTIAL SERVICE,Unplanned,02/26/2020 4:28 PM,20 Hours,BuildingsUnitsPopulation  1125291
82,"WAGNER - Building 08  2370 1ST AVENUE  NEW YORK, NY 10035",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 1:06 PM,3 Hours,BuildingsUnitsPopulation  1124255
83,"WEBSTER - Building 03  1260 WEBSTER AVENUE  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 9:19 AM,1 Hours,BuildingsUnitsPopulation  1123439
84,"WHITMAN - Building 04  149 NORTH PORTLAND AVENUE  BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,02/27/2020 8:49 AM,15 Hours,BuildingsUnitsPopulation  14285
85,"WOODSIDE - Building 07  31-49 49TH STREET  QUEENS, NY 11377",Elevator NO SERVICE,Unplanned,02/27/2020 7:15 AM,3 Hours,BuildingsUnitsPopulation  12441
