,Interruption,Scheduled Date,Impact
0,Hot Water,03/02/2020 9:00 AM,BuildingsUnitsResidents  148138
1,Heat  Hot Water,03/03/2020 8:00 AM,"BuildingsUnitsResidents  148961,823"
2,Hot Water,03/03/2020 9:00 AM,BuildingsUnitsResidents  1193498
3,Heat  Hot Water,03/09/2020 10:00 AM,BuildingsUnitsResidents  198226
4,Heat  Hot Water,03/02/2020 10:00 AM,BuildingsUnitsResidents  198195
5,Heat  Hot Water,03/05/2020 10:00 AM,BuildingsUnitsResidents  194222
6,Heat  Hot Water,03/04/2020 9:00 AM,BuildingsUnitsResidents  1160329
7,Heat  Hot Water,03/04/2020 9:00 AM,BuildingsUnitsResidents  1136287
8,Heat  Hot Water,03/04/2020 9:00 AM,BuildingsUnitsResidents  1160323
9,Heat  Hot Water,03/04/2020 9:00 AM,BuildingsUnitsResidents  196199
10,Heat  Hot Water,03/04/2020 9:00 AM,BuildingsUnitsResidents  1136301
11,Hot Water,03/03/2020 9:00 AM,BuildingsUnitsResidents  154168
12,Hot Water,03/03/2020 9:00 AM,BuildingsUnitsResidents  1150189
13,Heat,03/02/2020 9:00 AM,BuildingsUnitsResidents  1156449
14,Heat,03/02/2020 10:00 AM,BuildingsUnitsResidents  1124238
