Address,Interruption,Planned,Reported On,Restoration Time,Impact
"ALBANY - Building 02  1191 PARK PLACE  BROOKLYN, NY 11213",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 10:39 PM,15 Hours,BuildingsUnitsPopulation  1140291
"AMSTERDAM - Building 02  70 AMSTERDAM AVENUE  NEW YORK, NY 10023",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 6:47 AM,29 Hours,BuildingsUnitsPopulation  191183
"ASTORIA - Building 18  2-10 ASTORIA BLVD.  QUEENS, NY 11102",Elevator NO SERVICE,Unplanned,02/28/2020 9:13 AM,1 Hours,BuildingsUnitsPopulation  148134
"ATLANTIC TERMINAL SITE 4B - Building 01  487 CARLTON AVENUE  BROOKLYN, NY 11238",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 2:52 PM,21 Hours,BuildingsUnitsPopulation  1300582
"BEACH 41ST STREET-BEACH CHANNEL DRIVE - Building 03  438 BEACH 40TH STREET  QUEENS, NY 11691",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 8:33 PM,10 Hours,BuildingsUnitsPopulation  1120275
"BERRY - Building 07  51 SEAVER AVE.  STATEN ISLAND, NY 10306",Elevator NO SERVICE,Unplanned,02/28/2020 9:09 PM,7 Hours,BuildingsUnitsPopulation  13070
"BOSTON SECOR - Building 02  3555 BIVONA STREET  BRONX, NY 10475",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 8:36 AM,5 Hours,BuildingsUnitsPopulation  1159372
"BREVOORT - Building 02  1853 FULTON STREET  BROOKLYN, NY 11233",Elevator NO SERVICE,Unplanned,02/28/2020 7:02 AM,3 Hours,BuildingsUnitsPopulation  13570
"BREVOORT - Building 04  331 PATCHEN AVENUE  BROOKLYN, NY 11233",Elevator NO SERVICE,Unplanned,02/28/2020 3:28 PM,21 Hours,BuildingsUnitsPopulation  13570
"BROWNSVILLE - Building 14  268 OSBORN STREET  BROOKLYN, NY 11212",Elevator NO SERVICE,Unplanned,02/29/2020 9:46 AM,3 Hours,BuildingsUnitsPopulation  154116
"BUSHWICK - Building 08  130 MOORE STREET  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 4:34 PM,7 Hours,BuildingsUnitsPopulation  1110274
"BUSHWICK - Building 07  140 MOORE STREET  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 10:14 PM,12 Hours,BuildingsUnitsPopulation  1113297
"BUSHWICK - Building 06  370 BUSHWICK AVENUE  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 8:48 AM,12 Hours,BuildingsUnitsPopulation  1111309
