Address,Interruption,Scheduled Date,Impact
"AMSTERDAM - Building 06  210 WEST 64TH STREET  NEW YORK, NY 10023",Hot Water,03/03/2020 9:00 AM,BuildingsUnitsResidents  190189
"AMSTERDAM - Building 04  216 WEST 62ND STREET  NEW YORK, NY 10023",Hot Water,03/03/2020 9:00 AM,BuildingsUnitsResidents  13058
"AMSTERDAM - Building 05  216 WEST 63RD STREET  NEW YORK, NY 10023",Hot Water,03/03/2020 9:00 AM,BuildingsUnitsResidents  160113
"AMSTERDAM - Building 07  228 WEST 62ND STREET  NEW YORK, NY 10023",Hot Water,03/03/2020 9:00 AM,BuildingsUnitsResidents  13059
"AMSTERDAM - Building 08  229 WEST 62ND STREET  NEW YORK, NY 10023",Hot Water,03/02/2020 9:00 AM,BuildingsUnitsResidents  160118
"AMSTERDAM - Building 10  241 WEST 62ND STREET  NEW YORK, NY 10023",Hot Water,03/02/2020 9:00 AM,BuildingsUnitsResidents  160111
"AMSTERDAM - Building 09  242 WEST 62ND STREET  NEW YORK, NY 10023",Hot Water,03/02/2020 9:00 AM,BuildingsUnitsResidents  13062
"AMSTERDAM - Building 12  247 WEST 61ST DRIVE  NEW YORK, NY 10023",Hot Water,03/02/2020 9:00 AM,BuildingsUnitsResidents  160127
"AMSTERDAM - Building 11  249 WEST 61ST STREET  NEW YORK, NY 10023",Hot Water,03/02/2020 9:00 AM,BuildingsUnitsResidents  160107
"AMSTERDAM - Building 13  249 WEST 62ND STREET  NEW YORK, NY 10023",Hot Water,03/02/2020 9:00 AM,BuildingsUnitsResidents  160107
"AMSTERDAM - Building 01  40 AMSTERDAM AVENUE  NEW YORK, NY 10023",Hot Water,03/05/2020 9:00 AM,BuildingsUnitsResidents  1182355
"AMSTERDAM - Building 02  60 AMSTERDAM AVENUE  NEW YORK, NY 10023",Hot Water,03/03/2020 9:00 AM,BuildingsUnitsResidents  1182374
"AMSTERDAM - Building 03  80 AMSTERDAM AVENUE  NEW YORK, NY 10023",Hot Water,03/05/2020 9:00 AM,BuildingsUnitsResidents  1180382
"AMSTERDAM ADDITION - Entire Development  240 WEST 65TH STREET  MANHATTAN, NY 10023",Hot Water,03/05/2020 9:00 AM,BuildingsUnitsResidents  1175335
"ASTORIA - Building 07  3-04 27TH AVENUE  ASTORIA, NY 11102",Hot Water,03/02/2020 9:00 AM,BuildingsUnitsResidents  148138
"BREVOORT - Entire Development  292 RALPH AVENUE  BROOKLYN, NY 11233",Heat  Hot Water,03/03/2020 8:00 AM,"BuildingsUnitsResidents  148961,821"
"CONEY ISLAND I (SITE 1B) - Entire Development  2007 SURF AVENUE  BROOKLYN, NY 11224",Hot Water,03/03/2020 9:00 AM,BuildingsUnitsResidents  1193500
"CONLON LIHFE TOWERS - Entire Development  92-33 170TH STREET  JAMAICA, NY 11433",Heat,03/03/2020 9:00 AM,BuildingsUnitsResidents  1216241
"CYPRESS HILLS - Building 05  1200 SUTTER AVENUE  BROOKLYN, NY 11208",Heat  Hot Water,03/09/2020 10:00 AM,BuildingsUnitsResidents  198226
