Address,Location,Outage,Reported,Est. Completion
"NOSTRAND 2231 BATCHELDER ST, BK B-LINE",,Gas,05/05/2020,In Progress
"RAVENSWOOD 12-20 34TH AVE, QN B-LINE",,Gas,05/01/2020,In Progress
"SOUTH BRONX AREA (SITE 402) 844 EAGLE AVE, BX A&B-LINES",,Gas,04/29/2020,In Progress
"OCEAN HILL-BROWNSVILLE 324 HOWARD AVE, BK ENTIRE BLDG",,Gas,04/29/2020,In Progress
"WEBSTER 1260 WEBSTER AVE, BX C-LINE",,Gas,04/25/2020,In Progress
"MILL BROOK 520 EAST 137TH ST, BX E-LINE",,Gas,04/24/2020,In Progress
"BEACH 41ST STREET-BEACH CHANNEL DRIVE 40-20 BEACH CHANNEL DR, QN J-LINE",,Gas,04/22/2020,In Progress
"MARBLE HILL 210 WEST 230TH ST, BX K-LINE",,Gas,04/10/2020,In Progress
"BREUKELEN 651 EAST 108TH ST, BK A-LINE",,Gas,04/07/2020,In Progress
"303 VERNON AVENUE 303 VERNON AVE, BK ENTIRE BLDG",,Gas,03/30/2020,In Progress
"EASTCHESTER GARDENS 1134 BURKE AVE, BX H-LINE",,Gas,03/27/2020,In Progress
"BLAND 133-40 ROOSEVELT AVE, QN A-LINE",,Gas,03/24/2020,In Progress
"NOSTRAND 2344 BRAGG ST, BK A&F-LINES",,Gas,03/22/2020,In Progress
"ROOSEVELT I 128 LEWIS AVE, BK D-LINE",,Gas,03/21/2020,In Progress
"GARVEY (GROUP A) 10 AMBOY ST, BK H-LINE",,Gas,03/20/2020,In Progress
"MARCY 552 MARCY AVE, BK C-LINE",,Gas,03/20/2020,In Progress
"BARUCH 292 DELANCEY ST, MN D-LINE",,Gas,03/18/2020,In Progress
"ALBANY 1008 SAINT MARKS AVE, BK G-LINE",,Gas,03/11/2020,In Progress
"THROGGS NECK 2734 DEWEY AVE, BX C-LINE",,Gas,03/09/2020,In Progress
"EDENWALD 1166 GRENADA PL, BX A-LINE",,Gas,02/26/2020,In Progress
"JUSTICE SONIA SOTOMAYOR HOUSES 1020 SOUNDVIEW AVE, BX D-LINE",,Gas,02/25/2020,In Progress
"QUEENSBRIDGE SOUTH 41-15 10TH ST, QN D-LINE",,Gas,02/20/2020,In Progress
"FULTON 434 WEST 17TH ST, MN E-LINE",,Gas,02/15/2020,In Progress
"BEACH 41ST STREET-BEACH CHANNEL DRIVE 453 BEACH 40TH ST, QN E-LINE",,Gas,02/12/2020,In Progress
"CYPRESS HILLS 1230 SUTTER AVE, BK B&C-LINES",,Gas,02/05/2020,In Progress
"SUMNER 979 MYRTLE AVE, BK D-LINE",,Gas,02/04/2020,In Progress
"BLAND 133-50 ROOSEVELT AVE, QN F-LINE",,Gas,02/01/2020,In Progress
"BREUKELEN 106-12 FARRAGUT RD, BK A&E-LINES",,Gas,02/01/2020,In Progress
"BREUKELEN 757 EAST 105TH ST, BK D-LINE",,Gas,02/01/2020,In Progress
"BREUKELEN 106-03 GLENWOOD RD, BK D-LINE",,Gas,02/01/2020,In Progress
"ROOSEVELT II 93 LEWIS AVE, BK D-LINE",,Gas,01/27/2020,In Progress
"DOUGLASS II 140 WEST 104TH ST, MN ENTIRE BLDG",,Gas,01/24/2020,In Progress
"BORINQUEN PLAZA II 155 SEIGEL ST, BK C&D-LINES",,Gas,01/23/2020,In Progress
"FORT INDEPENDENCE STREET-HEATH AVENUE 3340 BAILEY AVE, BX B-LINE",,Gas,01/18/2020,In Progress
"PINK 1257 LORING AVE, BK C-LINE",,Gas,01/17/2020,In Progress
"RED HOOK EAST 774 HENRY ST, BK F-LINE",,Gas,01/16/2020,In Progress
"SUMNER 824 PARK AVE, BK B&C-LINES",,Gas,01/16/2020,In Progress
"BREUKELEN 718 EAST 108TH ST, BK ENTIRE BLDG",,Gas,01/14/2020,In Progress
"VAN DYKE I 410 SUTTER AVE, BK ENTIRE BLDG",,Gas,01/09/2020,05/12/2020
"SUMNER 824 PARK AVE, BK D-LINE",,Gas,01/08/2020,In Progress
"STERLING PLACE REHABS (STERLING-BUFFALO) 225 BUFFALO AVE, BK A-LINE",,Gas,01/03/2020,In Progress
"BAISLEY PARK 116-80 GUY BREWER BLVD, QN E-LINE",,Gas,01/02/2020,In Progress
"CONEY ISLAND I (SITE 8) 2950 WEST 35TH ST, BK G-10-RISER",,Gas,12/27/2019,In Progress
"GARVEY (GROUP A) 10 AMBOY ST, BK, 11212 B-LINE",,Gas,12/09/2019,In Progress
"CONEY ISLAND I (SITES 4 & 5) 2925 WEST 27TH ST, BK, 11224 C-LINE",,Gas,12/06/2019,In Progress
"CYPRESS HILLS 365 FOUNTAIN AVE, BK, 11208 ENTIRE BLDG",,Gas,11/26/2019,In Progress
"GOMPERS 100 PITT ST, MN, 10002 ENTIRE DEVELOPMENT",,Gas,09/27/2019,05/18/2020
"SACKWERN 1810 LAFAYETTE AVE, BX, 10473 ENTIRE BLDG",,Gas,07/09/2019,In Progress
"SACKWERN 1810 LAFAYETTE AVE, BX, 10473 K-LINE",,Gas,04/24/2019,In Progress
